donor,time_at_lining,register_in,register_out,total_wait_to_register
init_1,0.0,0.0,5.0,0.0
init_2,0.0,5.0,11.5,5.0
init_3,0.0,11.5,18.3,11.5
init_4,0.0,18.3,19.3,18.3
init_5,0.0,19.3,25.89,19.3
init_6,0.0,25.89,26.89,25.89
arr_1,1.98,26.89,36.34,24.91
arr_2,4.73,36.34,37.34,31.61
arr_3,6.41,37.34,43.12,30.93
arr_4,9.31,43.12,48.12,33.81
arr_5,13.8,48.12,53.12,34.32
arr_6,14.08,53.12,54.12,39.04
arr_7,15.28,54.12,60.7,38.84
arr_8,16.78,60.7,68.39,43.92
arr_9,18.33,68.39,69.39,50.07
arr_10,19.57,69.39,70.39,49.82
arr_11,22.67,70.39,78.58,47.72
arr_12,23.16,78.58,83.58,55.42
arr_13,24.23,83.58,84.58,59.35
arr_14,24.29,84.58,85.58,60.29
arr_15,24.63,85.58,90.58,60.95
arr_16,25.78,90.58,91.58,64.8
arr_17,27.43,91.58,92.58,64.16
arr_18,29.21,92.58,99.62,63.37
arr_19,29.35,99.62,100.62,70.27
arr_20,34.05,100.62,108.18,66.57
arr_21,34.46,108.18,115.94,73.72
arr_22,34.86,115.94,116.94,81.08
arr_23,36.55,116.94,124.39,80.39
arr_24,46.8,124.39,125.39,77.59
arr_25,47.12,125.39,133.63,78.27
arr_26,47.35,133.63,141.65,86.27
arr_27,47.43,141.65,142.65,94.22
arr_28,51.73,142.65,148.71,90.92
arr_29,57.34,148.71,156.01,91.37
arr_30,59.46,156.01,161.01,96.54
arr_31,60.93,161.01,162.01,100.08
arr_32,63.99,162.01,169.34,98.01
arr_33,65.04,169.34,176.61,104.3
arr_34,69.19,176.61,177.61,107.42
arr_35,70.0,177.61,182.61,107.61
arr_36,71.66,182.61,187.61,110.95
arr_37,73.97,187.61,192.61,113.64
arr_38,74.69,192.61,193.61,117.92
arr_39,74.82,193.61,199.33,118.79
arr_40,75.54,199.33,207.43,123.79
arr_41,78.16,207.43,212.43,129.27
arr_42,83.28,212.43,213.43,129.15
arr_43,84.35,213.43,214.43,129.08
arr_44,84.57,214.43,215.43,129.86
arr_45,92.11,215.43,216.43,123.31
arr_46,92.77,216.43,221.43,123.66
arr_47,94.7,221.43,228.62,126.73
arr_48,94.87,228.62,229.62,133.75
arr_49,95.92,229.62,237.61,133.7
arr_50,96.0,237.61,245.82,141.61
arr_51,97.43,245.82,246.82,148.39
arr_52,103.66,246.82,247.82,143.16
arr_53,105.99,247.82,254.94,141.83
arr_54,108.22,254.94,259.94,146.72
arr_55,116.06,259.94,260.94,143.88
arr_56,117.76,260.94,261.94,143.19
arr_57,119.04,261.94,266.94,142.9
arr_58,121.33,266.94,267.94,145.61
arr_59,121.72,267.94,272.94,146.22
arr_60,126.93,272.94,280.99,146.01
arr_61,133.64,280.99,285.99,147.35
arr_62,134.4,285.99,290.99,151.59
arr_63,136.96,290.99,298.55,154.03
arr_64,139.95,298.55,299.55,158.6
arr_65,140.99,299.55,305.71,158.56
arr_66,143.26,305.71,310.71,162.45
arr_67,149.66,310.71,311.71,161.05
arr_68,150.17,311.71,319.43,161.55
arr_69,153.89,319.43,325.85,165.53
arr_70,154.37,325.85,330.85,171.48
arr_71,157.05,330.85,337.64,173.8
arr_72,159.06,337.64,338.64,178.58
arr_73,160.01,338.64,343.64,178.64
arr_74,163.38,343.64,348.64,180.26
arr_75,164.24,348.64,353.64,184.41
arr_76,164.64,353.64,354.64,189.0
arr_77,165.45,354.64,362.28,189.2
arr_78,170.69,362.28,363.28,191.58
arr_79,172.05,363.28,364.28,191.23
arr_80,173.71,364.28,365.28,190.57
arr_81,174.43,365.28,366.28,190.85
arr_82,175.76,366.28,375.76,190.52
arr_83,176.59,375.76,380.76,199.18
arr_84,179.05,380.76,389.36,201.71
arr_85,180.84,389.36,394.36,208.52
arr_86,182.88,394.36,399.36,211.48
arr_87,183.63,399.36,400.36,215.72
arr_88,185.75,400.36,401.36,214.6
arr_89,186.84,401.36,408.17,214.52
arr_90,188.37,408.17,409.17,219.8
arr_91,190.97,409.17,416.9,218.2
arr_92,193.59,416.9,421.9,223.31
arr_93,198.5,421.9,422.9,223.4
arr_94,199.48,422.9,430.06,223.42
arr_95,203.65,430.06,435.9,226.41
arr_96,205.14,435.9,436.9,230.76
arr_97,206.66,436.9,445.83,230.24
arr_98,206.76,445.83,446.83,239.07
arr_99,207.29,446.83,447.83,239.54
arr_100,212.17,447.83,448.83,235.66
arr_101,212.75,448.83,453.83,236.08
arr_102,219.6,453.83,458.83,234.23
arr_103,221.4,458.83,463.83,237.43
arr_104,221.72,463.83,472.18,242.11
arr_105,223.52,472.18,477.18,248.66
arr_106,232.72,477.18,478.18,244.46
arr_107,237.93,478.18,483.18,240.25
arr_108,240.17,483.18,484.18,243.01
arr_109,241.88,484.18,485.18,242.3
arr_110,243.35,485.18,486.18,241.83
arr_111,243.57,486.18,491.18,242.61
arr_112,244.66,491.18,496.18,246.52
arr_113,247.58,496.18,497.18,248.6
arr_114,251.13,497.18,498.18,246.05
arr_115,252.57,498.18,499.18,245.61
arr_116,254.14,499.18,504.18,245.04
arr_117,255.03,504.18,511.13,249.15
arr_118,255.29,511.13,516.13,255.84
arr_119,258.35,516.13,517.13,257.78
arr_120,258.52,517.13,518.13,258.6
arr_121,260.06,518.13,523.13,258.07
arr_122,260.73,523.13,524.13,262.4
arr_123,261.25,524.13,525.13,262.87
arr_124,271.21,525.13,532.97,253.91
arr_125,271.37,532.97,533.97,261.6
arr_126,283.34,533.97,534.97,250.63
arr_127,285.4,534.97,535.97,249.57
arr_128,287.04,535.97,536.97,248.93
arr_129,287.67,536.97,537.97,249.3
arr_130,288.78,537.97,538.97,249.19
arr_131,291.11,538.97,539.97,247.86
arr_132,291.18,539.97,545.54,248.79
arr_133,291.38,545.54,550.54,254.16
arr_134,292.05,550.54,551.54,258.5
arr_135,292.82,551.54,556.54,258.72
arr_136,294.81,556.54,563.12,261.73
arr_137,294.88,563.12,570.51,268.24
arr_138,295.39,570.51,577.24,275.12
arr_139,298.44,577.24,578.24,278.8
